Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n3,n3202,Undirected,92,,,0.452328,0.452328,Pos
n3,n3280,Undirected,93,,,0.526069,0.526069,Pos
n3,n3321,Undirected,94,,,0.58631,0.58631,Pos
n3,n3454,Undirected,95,,,0.578569,0.578569,Pos
n3,n3635,Undirected,96,,,0.560167,0.560167,Pos
n3,n3710,Undirected,97,,,0.646588,0.646588,Pos
n3,n3797,Undirected,98,,,0.486629,0.486629,Pos
n3,n3884,Undirected,99,,,0.49545,0.49545,Pos
n3,n4054,Undirected,100,,,0.530046,0.530046,Pos
n3,n4068,Undirected,101,,,0.525603,0.525603,Pos
n3,n4082,Undirected,102,,,0.462958,0.462958,Pos
n3,n4398,Undirected,103,,,0.853573,0.853573,Pos
n3,n4487,Undirected,104,,,0.490886,0.490886,Pos
n3,n4796,Undirected,105,,,0.520615,0.520615,Pos
n3,n4957,Undirected,106,,,0.622996,0.622996,Pos
n4,n119,Undirected,107,,,0.459888,0.459888,Pos
n4,n372,Undirected,108,,,0.538387,0.538387,Pos
n4,n455,Undirected,109,,,0.47722,0.47722,Pos
n4,n565,Undirected,110,,,0.452567,0.452567,Pos
n4,n652,Undirected,111,,,0.545222,0.545222,Pos
n4,n666,Undirected,112,,,0.510075,0.510075,Pos
n4,n775,Undirected,113,,,0.480833,0.480833,Pos
n4,n944,Undirected,114,,,0.617478,0.617478,Pos
n4,n1086,Undirected,115,,,0.440761,0.440761,Pos
n4,n1401,Undirected,116,,,0.558486,0.558486,Pos
n4,n1493,Undirected,117,,,0.510193,0.510193,Pos
n4,n1615,Undirected,118,,,0.48355,0.48355,Pos
n4,n1726,Undirected,119,,,0.510275,0.510275,Pos
n4,n1763,Undirected,120,,,0.513921,0.513921,Pos
n4,n2396,Undirected,121,,,0.498104,0.498104,Pos
n4,n2668,Undirected,122,,,0.52551,0.52551,Pos
n4,n2866,Undirected,123,,,0.505276,0.505276,Pos
n4,n2891,Undirected,124,,,0.568083,0.568083,Pos
n4,n2916,Undirected,125,,,0.457468,0.457468,Pos
n4,n2953,Undirected,126,,,0.52247,0.522471,Pos
n4,n2968,Undirected,127,,,0.515507,0.515507,Pos
n4,n3050,Undirected,128,,,0.47191,0.47191,Pos
n4,n3195,Undirected,129,,,0.503069,0.503069,Pos
